Date,User,Tweet,Polarity
2023-03-31 18:44:47+00:00,Zepeck270,Une bactérie mangeuse de chair (pouvant provoquer des infections mortelles) se développe dans les océans en profitant du réchauffement climatique. Le nombre de personnes touchées pourrait doubler dans les 20 années à venir. (LCI) https://t.co/hx4YKFdShd,1.0
2023-03-31 18:40:30+00:00,Samsam682Sim,@Mediavenir Le réchauffement climatique a bon dos,-1.0
2023-03-31 18:34:59+00:00,Jn_Bllt,Bientôt il va découvrir le réchauffement climatique,1.0
2023-03-31 18:31:05+00:00,Valerie16491118,"Le GIEC préconise une alimentation végétale pour limiter le réchauffement climatique et les sécheresses récurrentes. Quand on sait qu il faut 15000 litres d eau pour produire un kg de boeuf, il faut aider les éleveurs à se reconvertir dans le maraîchage.",1.0
2023-03-31 18:30:58+00:00,Coeuresprit76,"@bdemontille Il faut lui répondre que c'est comme si on avait encore besoin d'""auditer"" le réchauffement climatique... sur l'ensauvagement, ils sont plus bornés que les + bornés des climato-sceptiques : ils n'y ""croient pas"".Il n'y a que pour le climat qu'ils croient les choses GRAVES",1.0
2023-03-31 18:27:38+00:00,doc_scrhodinger,"@raoult_didier C'est d'autant plus drôle de lire ça de la part d'un type qui s'évertue à ignorer la réalité du Covid, du réchauffement climatique anthropique et même de la théorie de l'évolution 😅",1.0
2023-03-31 18:26:21+00:00,Valerie16491118,"@brutnaturefr Le GIEC préconise une alimentation végétale pour limiter le réchauffement climatique et les sécheresses récurrentes. Quand on sait qu il faut 15000 litres d eau pour produire un kg de boeuf, il faut aider les éleveurs à se reconvertir dans le maraîchage.",1.0
2023-03-31 18:21:19+00:00,Valerie16491118,"@AvecRTFrance2 Le GIEC préconise une alimentation végétale pour limiter le réchauffement climatique et les sécheresses récurrentes. Quand on sait qu il faut 15000 litres d eau pour produire un kg de boeuf, il faut aider les éleveurs à se reconvertir dans le maraîchage.",1.0
2023-03-31 18:19:43+00:00,DrAlbedo17,"Vs puisez Des milliards en terme de ressources, mais pas capable de construire routes. Après, les mêmes vont parler de réchauffement climatique. Je ris fort..",-1.0
2023-03-31 18:18:57+00:00,Valerie16491118,"@samenerveee4567 @francoi73121624 @seed4238 @AnonymeCitoyen Le GIEC préconise une alimentation végétale pour limiter le réchauffement climatique et les sécheresses récurrentes. Quand on sait qu il faut 15000 litres d eau pour produire un kg de boeuf, il faut aider les éleveurs à se reconvertir vers le maraîchage.",1.0
2023-03-31 18:11:00+00:00,MafiaPolonaise,@Lencyclopediste On peut faire pareil avec les wokes. Ça ne réduirait peut être pas le réchauffement climatique mais le QI moyen augmenterait de façon certain.,-1.0
2023-03-31 18:07:02+00:00,MylordNtambo,"@Nath_Yamb Eux ont coupés leurs arbres pour construire à la place des gratte-ciel et se donner la qualification “ pays développés ”. Mais quand c’est notre tour de penser développement, on ns sort des formules telles que “ écologie, réchauffement climatique…

ASENTE DADA @Nath_Yamb 🙏🙏🙏",-1.0
2023-03-31 18:06:42+00:00,SkyRunner_69,@Mediavenir Profitant du réchauffement climatique? Celui causé par l'homme ou celui causé par la nature elle même ?,-1.0
2023-03-31 18:01:48+00:00,MylordNtambo,"@Djamilatou_ @Nath_Yamb Eux ont coupés leurs arbres pour construire à la place des gratte-ciel et se donner la qualification “ pays développés ”. Mais quand c’est notre tour de penser développement, il nous des formules telles que “ écologie, réchauffement climatique…",-1.0
2023-03-31 18:00:12+00:00,FabienRiva,"@EmmanuelMacron C est magique...comme c est un bien commun. Vous en aurez moins et elle vous coutera plus chers.
En même temps qui aurait pu prévoir ce réchauffement climatique comme il dit...",1.0
2023-03-31 17:57:17+00:00,gdbx9z,"@CommanderTorenn @EmmanuelMacron manque de pluie = sécheresse dû au réchauffement climatique , j’imagine qu’il doit te falloir un schéma avec un nuage , de l’eau et un soleil ? terrible de vouloir chercher la petite bête au lieu de se rendre compte que t’es juste débile au possible",-1.0
2023-03-31 17:54:23+00:00,CommanderTorenn,@gdbx9z @EmmanuelMacron Le réchauffement climatique favorise le manque de pluie ?,1.0
2023-03-31 17:52:29+00:00,OuestFrance,Pourrons-nous continuer à boire du vin de Bordeaux avec un réchauffement climatique à +4 °C ? https://t.co/qJWDHUMVvb,1.0
2023-03-31 17:51:38+00:00,chegoldkgb,@Qofficiel Faire croire aux gens que c'est la science qui valait sauver du réchauffement climatique est une aberration totale puisque c'est la consommation elle-même qui engendre la fin de la vie sur Terre quid du système économique capitaliste qui en est le responsable,1.0
2023-03-31 17:49:51+00:00,chegoldkgb,@Qofficiel @AmandaSthers @Aurelie_JEAN @zahodesagazan @TMCtv Avoir écrit un livre marqué 2050 résistance et tenir ce genre de propos me fait penser à une certaine bienveillance envers la technologie qui quand même est responsable de la pollution du réchauffement climatique et de la fin de la biodiversité,1.0
2023-03-31 17:48:14+00:00,gdbx9z,"@CommanderTorenn @EmmanuelMacron manque de pluie = sécheresse , et le réchauffement climatique favorise ce genre de choses , compliqué à comprendre où il vous faut trouver un gourou à pointer du doigt pour justifier tout vos maux ?",1.0
2023-03-31 17:43:53+00:00,Begood696969,"@TigzyRK @Shuyaftw @Mediavenir Bah si ça a toujours existé pourquoi faire peur uniquement maintenant avec ça ?
Des ''eaux côtières chaudes'' on a pas attendu d'être en pleine bouze en terme de réchauffement climatique pour réunir ces conditions 🤡",-1.0
2023-03-31 17:40:30+00:00,Mekkiceh,"@SangD_Encre @AnthonyMeilland @LaTacfi @PenelopeB Par contre dans le reste du monde, ce n'est pas terrible pour la biodiversité, et le réchauffement climatique (dont vous niez les causes anthropiques) y a largement sa part.",1.0
2023-03-31 17:33:35+00:00,Lance_C100,@cfhinor @Micka_Xtk réchauffement climatique c'est juste n'importe quoi et extrêmement facile.,-1.0
2023-03-31 17:33:12+00:00,zak_maxx,"On est où là ? On est face à un réchauffement climatique, un système capitaliste à bout de souffle et ce gouvernement fait des unes des Playboy",1.0
2023-03-31 17:29:55+00:00,Shir01001111,"@Mediavenir Super, bientôt on pourra même plus se baigner sans risquer de se faire dévorer par une bactérie... On aura vraiment tout vu avec le réchauffement climatique ! #Vibriovulnificus",1.0
2023-03-31 17:28:34+00:00,rickdadier,"N'empêche.
Grâce à l'inaction totale du gouvernement face au réchauffement climatique, on n'a pas dû subir les coupures d'électricité que l'on craignait cet hiver.
Et ça personne ne le dit.",-1.0
2023-03-31 17:24:52+00:00,PWYP_MADAGASCAR,"Avec la menace du réchauffement climatique, les minerais de transition sont devenus un enjeu majeur dans le monde entier!

@MinesMadagascar une stratégie nationale de ces minerais est essentielle pour assurer une transition énergétique juste et durable pour #Madagascar.",1.0
2023-03-31 17:21:54+00:00,NicaiseAss21,"😍😍🧐LE HAUT MARICHAL DES PROTOCOLES DU   MONDE INFORMATIQUE &lt;&lt;

🤔🤔Le réchauffement climatique est une réalité planétaire.
 
🤔🤔Evitons…évitions…évitons…la fin du monde.

                           🥰🥰PASSONS AU VERT-BIO https://t.co/KN7dIzjbli",1.0
2023-03-31 17:17:20+00:00,gatien_actu,"🪱🌊 FLASH - Une bactérie mangeuse de chair (pouvant provoquer des infections mortelles) se développe dans les océans en profitant du réchauffement climatique. Le nombre de personnes touchées pourrait doubler dans les 20 années à venir.
(LCI) https://t.co/p2CBhYcwU7",1.0
2023-03-31 17:15:46+00:00,Mekkiceh,@SangD_Encre @AnthonyMeilland @LaTacfi @PenelopeB Ca fonctionne comme pour le réchauffement climatique: Ce n'est pas parce qu'il a fait froid pendant 3 jours en hiver que l'on peut en déduire l'absence de réchauffement. C'est l'évolution de l'ensemble des jours sur plusieurs années qu'il faut considérer. Et ça chauffe ! https://t.co/65JjCJj9ul,1.0
2023-03-31 17:14:47+00:00,10121Ws,"""La Grande arnaque du réchauffement climatique"" film documentaire de 2007. 
https://t.co/7ECNh6sOYB https://t.co/u9QMVUKYcc",-1.0
2023-03-31 17:13:59+00:00,BaptisteMenon,@XR_SaintEtienne @xrFrance C’est marrant comment vous avez l’air conscient du réchauffement climatique (apparemment) et que vous luttez contre les adaptations que nous mettons en place en brulant des voitures de crs et des poubelles en plastique… 🤔🤦‍♂️#rechauffementclimatique,1.0
2023-03-31 17:13:32+00:00,Europhobe,"Catherine Colonna avec John Kerry, chargé de la lutte contre le réchauffement climatique. Quelle blague ! L'Amérique nous vend à prix d'or son gaz de schiste et invite les entreprises européennes à s'installer sur son sol. La France sera 100% verte mais n'aura plus d'usines... https://t.co/NIFKuttf2s",1.0
2023-03-31 17:11:34+00:00,nawel42056055,"@JedarPierre Oui,effectivement, je déteste  la chaleur c'est Horrible. 
Je ne veux même pas sortir dehors.
Le réchauffement climatique.",1.0
2023-03-31 17:11:19+00:00,OlivierJorba,"🪱🌊  Une bactérie mangeuse de chair (pouvant provoquer des infections mortelles) se développe dans les océans en profitant du réchauffement climatique. Le nombre de personnes touchées pourrait doubler dans les 20 années à venir.
#ClimateCrisis #infections #Oceans https://t.co/2AGhAcbeqg",1.0
2023-03-31 17:10:08+00:00,alaindu891,Nouvelle étude : les animaux sauvages contribuent à la lutte contre le réchauffement climatique https://t.co/SUEtm1bNzU,1.0
2023-03-31 17:10:01+00:00,Mekkiceh,"@SangD_Encre @AnthonyMeilland @LaTacfi @PenelopeB Nous maîtrisons par exemple le brûlage de charbon, on sait par contre que cela implique de tuer 23'000 personnes par an en Europe (dont 4200 morts par an de responsabilité de l'Allemagne seule) et on sait que ça va nous coûter une blinde en réchauffement climatique.",1.0
2023-03-31 17:09:14+00:00,LateAnne,@baboun947_erix @quatremer Surtout vu l'inaction face au réchauffement climatique. peu de chances pour les jeunes d'arriver à l'âge de la retraite.,1.0
2023-03-31 17:08:50+00:00,Cerise70006827,"@LehLadak @Mohamed22613 @55Bellechasse Un continent perdu par le réchauffement climatique, une population qui migre en occident 😂. Un continent qui se victimize continuellement, au lieu d’aller de l’avant 👍🏻",-1.0
2023-03-31 17:07:36+00:00,AssociationLaC6,@RousselFabrice pourquoi vous obstiner à détruire l’îlot de biodiversité que constitue l’îlot 9 de la ZAC des Perrières pour construire un Cinéma Multiplex ? Pourquoi détruire la Nature en ville si précieuse en cette période de réchauffement climatique ? Nous ne comprenons pas …,1.0
2023-03-31 17:05:31+00:00,LaVeroleOff,"Au vu du réchauffement climatique et des sécheresses, ces chiffres n’ont rien de délirant. Ils sont simplement en avance de quelques années",1.0
2023-03-31 17:02:47+00:00,WinslowIsabelle,On ne parle pas de « réchauffement climatique » mais de « changement climatique » c’est plus juste,-1.0
2023-03-31 17:02:35+00:00,VoyageAstucieux,"@Salim029713202 😂🤣🤣🤣 qu'est-ce que c est cette ville ? 😱 
Je pense que c est la conséquence du réchauffement climatique. Tout change brusquement, la météo est en roue libre",1.0
2023-03-31 17:00:32+00:00,RomainFournier_,@2022Elections C’est pas comme si le réchauffement climatique allait nous défoncer la gueule dans quelques années. Mais continuions … gouvernement de girouette et de clown,1.0
2023-03-31 16:59:50+00:00,rere2763hamy,"Écouter Jean-Claude Bourret le réchauffement climatique c'est du blabla
https://t.co/GC0Nx1JVEd",-1.0
2023-03-31 16:55:44+00:00,Epiop1,@BrunoRetailleau Alors en fait la situation va tellement échapper rapidement au monde entier à cause du réchauffement climatique que la question ne sera pas est ce qu'on accueille mais de quelle manière. Nous allons rapidement nous retrouver face à des millions de réfugiés supplémentaires.,1.0
2023-03-31 16:48:53+00:00,MarcTheFat,On est en mars et ça sent déjà la transpiration dans les transports en commun. Y'en a encore qui doutent du réchauffement climatique ?,1.0
2023-03-31 16:47:39+00:00,mouktarbello1,La réponse au réchauffement climatique est clair alors. Mais qui va financer la troisième?,1.0
2023-03-31 16:45:49+00:00,Saturnrcitizen,@99gu66 Réchauffement climatique il neigera en été 🤣🪐,1.0
2023-03-31 16:45:42+00:00,je35333571,"@jmyremets Même moment.

Après étude du dernier rapport du GIEC,

et surpris par la pression mise par M. Sar kozy,

pour nous imposer la théorie du ""réchauffement climatique"".

Ce rapport du GIEC avait trop d'incertitudes pour que la théorie soit validée, 
autrement que par des politiques !",-1.0
2023-03-31 16:45:20+00:00,JeanLan19550,@danielthibault Réchauffement climatique 🤣🤣🤣🤣,-1.0
2023-03-31 16:43:01+00:00,brutofficiel,"Des heures de marche dans la neige pour finalement faire face au glacier Inylchec. @Seb_Frit nous raconte son voyage au Kirghizistan. Le but ramener de belles images, mais aussi alerter sur le Glof : une catastrophe naturelle accentuée par le réchauffement climatique. https://t.co/EbARgvD8LO",1.0
2023-03-31 16:41:21+00:00,PGuerendel,"@MouldeuxJean @Elpis_R @fmbreon @cassouman40 @valmasdel Le ring avec un tricheur? sinon je vous laisse calculer le gradient du ""puissant et brutal réchauffement climatique"" sur 14000 ans du dernier interglaciaire cité par le CNRS avec celui des 50 dernières années. https://t.co/xJiyni0Lop",1.0
2023-03-31 16:39:51+00:00,W_U_L_F_55,"@jmyremets Je n’y ai jamais cru, dans les années 2000, il y avait des conférences, auquel j’ai assisté, de terre et peuple, ou le réchauffement climatique était gravement remis en cause, ainsi que l’électricité verte a base d’éoliennes notamment.",-1.0
2023-03-31 16:39:26+00:00,coptic_nc,quand j'etait petit en hiver ca neigeait partout et cette année il faisait plus de 20 degrés dans certaines régions en franfe comment vous faites pour ne pas voir le rechauffement climatique,1.0
2023-03-31 16:38:09+00:00,Sifu1984,@TheAvnerSolal Ils prendront une douche froide par semaine pour Lutter contre le réchauffement climatique aux vents solaires....🥳🥳🥳🤡🤡🤡,1.0
2023-03-31 16:31:13+00:00,Montesqieu1949,@AlexanderPrym C’est logique avec l’incompétente @TinneVdS et @KhattabiZakia . Notre sécurité énergétique est en danger et en plus et contrairement au dernier rapport du GIEC elles sont pour les centrales au gaz qui favorisent le réchauffement climatique et le CO2 @LaCapitale_be @knack @HLN,1.0
2023-03-31 16:28:22+00:00,FRANCOISGRIVEA2,@Cobra_FX_ Ici elles fabriquent de la sècheresse et du réchauffement climatique elles  sont en trop grand nombre et ce dont on a besoin pour trouver un équilibre c'est de bocage.,1.0
2023-03-31 16:26:21+00:00,jvnx21,@JCondamine C'est comme le réchauffement climatique  : ils vendent du carbone...,-1.0
2023-03-31 16:23:11+00:00,Valentinouney,ce qui me rend heureux quand je vois ça c'est qu'avec le réchauffement climatique ils passeront pas les canicules,1.0
2023-03-31 16:19:12+00:00,FeuillardPhili1,Selon 1 etude il y a bien 1 lien entre le rechauffement climatique et l'usage intensif de gaz lacrymogenes.,1.0
2023-03-31 16:14:10+00:00,Intel185,L'impact du numérique sur la planète ce n'est pas forcément un bon signe en fait pour le réchauffement climatique en tout cas,1.0
2023-03-31 16:08:49+00:00,BAMB0LE0_,je vais devenir un expert du réchauffement climatique avec tous les trucs qu’on a fait dessus en allemand 💀,1.0
2023-03-31 16:08:35+00:00,Olivier40121476,"Solaire en termes de sécheresse étaient encore relayés par les médias mainstream il y a 10 ans : 
« Des projets d'ingénierie à grande échelle visant à lutter contre le réchauffement climatique pourraient réduire radicalement les précipitations en #Europe et en Amérique du Nord, a",1.0
2023-03-31 16:08:13+00:00,ananasela29,"@tillon_laurent @hugoclement @Fredjoseph67 Sur certaines questions comme celle-ci, SI il faut arbitrer entre une cause environnementale locale et le réchauffement climatique, il va falloir prioriser la lutte contre le RC et donc réduire drastiquement les émissions de GES",1.0
