Date,User,Tweet,Polarity,Preprocessed_Tweet
2023-03-31 18:44:47+00:00,Zepeck270,Une bactérie mangeuse de chair (pouvant provoquer des infections mortelles) se développe dans les océans en profitant du réchauffement climatique. Le nombre de personnes touchées pourrait doubler dans les 20 années à venir. (LCI) https://t.co/hx4YKFdShd,1.0,bactérie mangeus chair pouvoir provoquer infection mortel développer océan profiter réchauffement climatique nombre personne toucher pouvoir doubler     année venir     lci
2023-03-31 18:40:30+00:00,Samsam682Sim,@Mediavenir Le réchauffement climatique a bon dos,-1.0,réchauffement climatique bon dos
2023-03-31 18:34:59+00:00,Jn_Bllt,Bientôt il va découvrir le réchauffement climatique,1.0,bientôt aller découvrir réchauffement climatique
2023-03-31 18:31:05+00:00,Valerie16491118,"Le GIEC préconise une alimentation végétale pour limiter le réchauffement climatique et les sécheresses récurrentes. Quand on sait qu il faut 15000 litres d eau pour produire un kg de boeuf, il faut aider les éleveurs à se reconvertir dans le maraîchage.",1.0,giec préconise alimentation végétal limiter réchauffement climatique sécheresse récurrenter quand savoir falloir     litre eau produire kilogramme boeuf falloir aider éleveur reconvertir maraîchage
2023-03-31 18:30:58+00:00,Coeuresprit76,"@bdemontille Il faut lui répondre que c'est comme si on avait encore besoin d'""auditer"" le réchauffement climatique... sur l'ensauvagement, ils sont plus bornés que les + bornés des climato-sceptiques : ils n'y ""croient pas"".Il n'y a que pour le climat qu'ils croient les choses GRAVES",1.0,falloir répondre comme si encore besoin auditer réchauffement climatique ensauvagement plus borner     borné climato sceptique     croire climat croire chose grave
2023-03-31 18:27:38+00:00,doc_scrhodinger,"@raoult_didier C'est d'autant plus drôle de lire ça de la part d'un type qui s'évertue à ignorer la réalité du Covid, du réchauffement climatique anthropique et même de la théorie de l'évolution 😅",1.0,autant plus drôle lire ça part type évertu ignorer réalité covid réchauffement climatique anthropique théorie évolution
2023-03-31 18:26:21+00:00,Valerie16491118,"@brutnaturefr Le GIEC préconise une alimentation végétale pour limiter le réchauffement climatique et les sécheresses récurrentes. Quand on sait qu il faut 15000 litres d eau pour produire un kg de boeuf, il faut aider les éleveurs à se reconvertir dans le maraîchage.",1.0,giec préconise alimentation végétal limiter réchauffement climatique sécheresse récurrenter quand savoir falloir     litre eau produire kilogramme boeuf falloir aider éleveur reconvertir maraîchage
2023-03-31 18:21:19+00:00,Valerie16491118,"@AvecRTFrance2 Le GIEC préconise une alimentation végétale pour limiter le réchauffement climatique et les sécheresses récurrentes. Quand on sait qu il faut 15000 litres d eau pour produire un kg de boeuf, il faut aider les éleveurs à se reconvertir dans le maraîchage.",1.0,giec préconise alimentation végétal limiter réchauffement climatique sécheresse récurrenter quand savoir falloir     litre eau produire kilogramme boeuf falloir aider éleveur reconvertir maraîchage
2023-03-31 18:19:43+00:00,DrAlbedo17,"Vs puisez Des milliards en terme de ressources, mais pas capable de construire routes. Après, les mêmes vont parler de réchauffement climatique. Je ris fort..",-1.0,v puiser milliard terme ressource capable construire route après même aller parler réchauffement climatique ris fort
2023-03-31 18:18:57+00:00,Valerie16491118,"@samenerveee4567 @francoi73121624 @seed4238 @AnonymeCitoyen Le GIEC préconise une alimentation végétale pour limiter le réchauffement climatique et les sécheresses récurrentes. Quand on sait qu il faut 15000 litres d eau pour produire un kg de boeuf, il faut aider les éleveurs à se reconvertir vers le maraîchage.",1.0,      giec préconiser alimentation végétal limiter réchauffement climatique sécheresse récurrenter quand savoir falloir     litre eau produire kilogramme boeuf falloir aider éleveur reconvertir vers maraîchage
2023-03-31 18:11:00+00:00,MafiaPolonaise,@Lencyclopediste On peut faire pareil avec les wokes. Ça ne réduirait peut être pas le réchauffement climatique mais le QI moyen augmenterait de façon certain.,-1.0,pouvoir faire pareil wokes cela réduire pouvoir être réchauffement climatique qi moyen augmenter façon certain
